index,relative_path,category,extension,size_bytes,estimated_records,parse_status,sensitive_keys,observed_keys,sha256
56,public\ocr\books\class6-english\pages\page-051.json,TEXTBOOK_OCR,.json,9937,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,f7adbaf7cca45bab963ad4805e8be73bd316c476cccd3129032628c6afc559f8
57,public\ocr\books\class6-english\pages\page-052.json,TEXTBOOK_OCR,.json,21301,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,3f698efeee840360f100d3a9e85fd0a68e62de390a2e1ace63c6ecd70b7e0f19
58,public\ocr\books\class6-english\pages\page-053.json,TEXTBOOK_OCR,.json,13200,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,ea287392e013c4818b130487776add947cce5ba72d57b7dff6bf60ad8c3f634c
59,public\ocr\books\class6-english\pages\page-054.json,TEXTBOOK_OCR,.json,27824,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,dd8f9d61c3a36efa6acd65c69714f1d043d8c1ab3a7464e4dda4aa50287df5eb
60,public\ocr\books\class6-english\pages\page-055.json,TEXTBOOK_OCR,.json,19185,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,5b1e871230f396cc38f04d29ba482416394f50708ecedab54dfd47facd7df062
61,public\ocr\books\class6-english\pages\page-056.json,TEXTBOOK_OCR,.json,20167,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,7bf491c8b97d70c13efd084e38ff37c9e46755530723e15466403018a4c86ca8
62,public\ocr\books\class6-english\pages\page-057.json,TEXTBOOK_OCR,.json,14909,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,789ef506e8b1e7fdf03d5874c26f1654418a5ab14406c4f3bc49a67f267cd1d3
63,public\ocr\books\class6-english\pages\page-058.json,TEXTBOOK_OCR,.json,25451,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,96eab6e84368d6539d39e17f40a33abf6ca91b6f4641e8d68f0e95077231ca3c
64,public\ocr\books\class6-english\pages\page-059.json,TEXTBOOK_OCR,.json,8344,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,6b19b9ea86d0db84963aa6aeca1a374beecfe5828e5648df3004c7f8bfc1ade8
65,public\ocr\books\class6-english\pages\page-060.json,TEXTBOOK_OCR,.json,8137,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,a73d4d7ab11b74f533e9bf7838cdc657c26050f34e13586fbd02b681230de481
