record_id,book_id,class_level,subject,page_number,lesson_number,lesson_title,text_source,character_count,word_count,line_count,alpha_ratio,usable_for_rag,training_candidate,quality_flags,source_file,alternate_candidate_count,candidate_text_versions,text_sha256
class6-english-page-0088,class6-english,6,English,88,30,What Should We do?,aiReadyText,844,150,21,0.7844,True,True,,public\ocr\books\class6-english\pages\page-088.json,2,2,e16cea6cb4a5ed49f4c611bc6383d311004b2d2108188343c898c7bee8ca19dd
class6-english-page-0089,class6-english,6,English,89,30,What Should We do?,aiReadyText,401,70,8,0.7781,True,True,,public\ocr\books\class6-english\pages\page-089.json,2,2,5508686d1f2621b89ff560179afd07f55d0e47e5a1478529bd390c9364b22b22
class6-english-page-0090,class6-english,6,English,90,31,Too Much or Too Little Water,aiReadyText,678,130,18,0.7611,True,True,,public\ocr\books\class6-english\pages\page-090.json,2,2,112a708c059bc1a28624a10ddf14afe4c376c6eefdabb12ae4326880afeff27c
class6-english-page-0091,class6-english,6,English,91,31,Too Much or Too Little Water,aiReadyText,931,161,20,0.7852,True,True,,public\ocr\books\class6-english\pages\page-091.json,2,2,cb3c44450d8d1303f2d98382373dd9df02473774aadb6fe550372915f9feddea
class6-english-page-0092,class6-english,6,English,92,32,An Invitation for Robin,aiReadyText,307,53,8,0.7459,True,True,,public\ocr\books\class6-english\pages\page-092.json,2,2,b5dfc5fcebe23ebe6363520fe76cd7d15ea7bd4ab84f25d5922fa25d5fb9d822
class6-english-page-0093,class6-english,6,English,93,32,An Invitation for Robin,aiReadyText,958,172,23,0.7683,True,True,,public\ocr\books\class6-english\pages\page-093.json,2,2,19c9e7a9bdcf1a1b8a5d225c3999409daec6d54d71044b7c2beb32e6860aa5c5
class6-english-page-0094,class6-english,6,English,94,33,The Garden,aiReadyText,720,137,17,0.7639,True,True,,public\ocr\books\class6-english\pages\page-094.json,2,2,e91c9031be86b0cbad49ccda6c18907048d6f52a57ff9ed84d9febb10bf9df29
class6-english-page-0095,class6-english,6,English,95,33,The Garden,aiReadyText,386,67,8,0.7927,True,True,,public\ocr\books\class6-english\pages\page-095.json,2,2,0dbbf24cab7365ecce41f9c699af0a2708989fc8b7159a5fc68f9de9db36dab2
class6-english-page-0096,class6-english,6,English,96,33,The Garden,aiReadyText,429,82,8,0.7786,True,True,,public\ocr\books\class6-english\pages\page-096.json,2,2,202d098ebf0be04353ec74be5f1b2bafb305f884380d09fe0d38296d7184fd2f
class6-english-page-0097,class6-english,6,English,97,33,The Garden,aiReadyText,1138,214,26,0.7715,True,True,,public\ocr\books\class6-english\pages\page-097.json,2,2,d060143dbadf1d3cb173974f3936f37a81d8817f3aae818a816d356349fc5fab
class6-english-page-0098,class6-english,6,English,98,33,The Garden,aiReadyText,1156,223,25,0.7682,True,True,,public\ocr\books\class6-english\pages\page-098.json,2,2,5ffd883e1c1507658038511d59b4abc8b30dd2c08d536696d6a76df14993f8ff
class6-english-page-0099,class6-english,6,English,99,33,The Garden,aiReadyText,524,95,15,0.7405,True,True,,public\ocr\books\class6-english\pages\page-099.json,2,2,5c97496154ea2ef830d55b90720a2019ef1fd033f8b54a5142ce971174b217b9
class6-english-page-0100,class6-english,6,English,100,33,The Garden,aiReadyText,352,67,7,0.7528,True,True,,public\ocr\books\class6-english\pages\page-100.json,2,2,1fcc03be47b73813725f538a6300759382505ee64d40c7c369adc27e6b3b493b
class6-english-page-0101,class6-english,6,English,101,,Sample Question,aiReadyText,467,91,12,0.7281,True,True,,public\ocr\books\class6-english\pages\page-101.json,2,2,4ae5bce447c0e077dffa25eaf99d28f81c5e9aa76d5e0b80d71513fc50358b33
class6-english-page-0102,class6-english,6,English,102,,Sample Question,aiReadyText,362,75,11,0.7486,True,True,,public\ocr\books\class6-english\pages\page-102.json,2,2,0892f35c3281d0471bbf0088dc5734b12a9155c644b6ab78ec06d7ae1272b3ca
class6-english-page-0103,class6-english,6,English,103,,Sample Question,aiReadyText,318,57,6,0.739,True,True,,public\ocr\books\class6-english\pages\page-103.json,2,2,b6e806050f3e9626e2d6d0c34083aa469570ad8ad8ed96e4118cc2ab08df0654
